ID;Domain;TopDomain;cname;ip
562;consoffice.eu;consoffice.eu;consoffice.eu;81.169.145.70
94451;5thw.eu;5thw.eu;5thw.eu;81.169.145.71
94451;5thw.eu;5thw.eu;5thw.eu;81.169.145.71
24991;bausachverstaendige.eu;bausachverstaendige.eu;bausachverstaendige.eu;81.169.145.71
15006;beitrag-sparen.eu;beitrag-sparen.eu;beitrag-sparen.eu;81.169.145.71
94749;bluestrings.eu;bluestrings.eu;bluestrings.eu;81.169.145.71
94749;bluestrings.eu;bluestrings.eu;bluestrings.eu;81.169.145.71
64602;4cross.eu;4cross.eu;4cross.eu;81.169.145.72
25287;colorados.eu;colorados.eu;colorados.eu;81.169.145.72
14882;architekturtheorie.eu;architekturtheorie.eu;architekturtheorie.eu;81.169.145.75
10115;bravis.eu;bravis.eu;bravis.eu;81.169.145.75
9743;0-tarif.eu;0-tarif.eu;0-tarif.eu;81.169.145.87
59772;auto-tipp.eu;auto-tipp.eu;auto-tipp.eu;81.169.145.87
20342;cyberserien.eu;cyberserien.eu;cyberserien.eu;81.169.145.90
29684;aat-24.eu;aat-24.eu;aat-24.eu;81.169.145.91
59843;bekon.eu;bekon.eu;bekon.eu;81.169.145.91
14912;assecurata.eu;assecurata.eu;assecurata.eu;81.169.187.156
55252;cutstudio.eu;cutstudio.eu;cutstudio.eu;81.19.145.30
50033;brauner-telecom.eu;brauner-telecom.eu;brauner-telecom.eu;81.28.232.71
30059;brustvergroesserung-brustverkleinerung.eu;brustvergroesserung-brustverkleinerung.eu;brustvergroesserung-brustverkleinerung.eu;82.165.124.194
49787;andrewbennett.eu;andrewbennett.eu;andrewbennett.eu;82.165.201.87
94615;aufeuropaeischeart.eu;aufeuropaeischeart.eu;aufeuropaeischeart.eu;82.165.219.4
24847;altepapierfabrik.eu;altepapierfabrik.eu;altepapierfabrik.eu;82.165.68.239
34942;blog.jan-seifert.eu;jan-seifert.eu;blog.jan-seifert.eu;82.165.76.231
74627;blog.demiurge.eu;demiurge.eu;blog.demiurge.eu;82.165.77.198
84828;computus.eu;computus.eu;computus.eu;82.165.78.179
99;albrecht.eu;albrecht.eu;albrecht.eu;82.165.83.225
59919;blue-concept.eu;blue-concept.eu;blue-concept.eu;82.165.88.212
45120;businessatwork.eu;businessatwork.eu;businessatwork.eu;82.165.93.148
74582;bernard-m-hild.eu;bernard-m-hild.eu;bernard-m-hild.eu;82.165.94.250
55231;creative-education.eu;creative-education.eu;creative-education.eu;82.165.99.214
40052;buch-cd-dvd.eu;buch-cd-dvd.eu;buch-cd-dvd.eu;82.197.146.6
69707;bagsl.eu;bagsl.eu;bagsl.eu;82.98.134.9
59996;cappell.eu;cappell.eu;cappell.eu;83.169.4.37
79601;bluepage.eu;bluepage.eu;bluepage.eu;85.13.130.253
35221;dabel.eu;dabel.eu;dabel.eu;85.13.134.205
64634;ads24.eu;ads24.eu;ads24.eu;85.13.134.38
64634;ads24.eu;ads24.eu;ads24.eu;85.13.134.38
64634;ads24.eu;ads24.eu;ads24.eu;85.13.134.38
29778;anastasia-de.eu;anastasia-de.eu;anastasia-de.eu;85.13.136.190
9885;arbeitsmarktportal.eu;arbeitsmarktportal.eu;arbeitsmarktportal.eu;85.214.48.62
9795;abi2011dbgwiehl.siteboard.eu;siteboard.eu;abi2011dbgwiehl.siteboard.eu;85.214.72.106
50178;club-alpha.eu;club-alpha.eu;club-alpha.eu;85.214.85.37
50172;clan-dhz.eu;clan-dhz.eu;clan-dhz.eu;85.25.11.18
45091;brit-mallmann.1a-shops.eu;1a-shops.eu;brit-mallmann.1a-shops.eu;85.25.135.199
74829;colist.eu;colist.eu;colist.eu;85.25.148.84
74829;colist.eu;colist.eu;colist.eu;85.25.148.84
74646;board.aff-europe.eu;aff-europe.eu;board.aff-europe.eu;87.106.118.160
74646;board.aff-europe.eu;aff-europe.eu;board.aff-europe.eu;87.106.118.160
59746;asentr.eu;asentr.eu;asentr.eu;87.106.119.116
54757;andreas.reuschl.eu;reuschl.eu;andreas.reuschl.eu;87.106.191.48
89498;asienanimals.eu;asienanimals.eu;asienanimals.eu;89.107.186.22
59753;at.febishop.eu;febishop.eu;at.febishop.eu;89.111.13.89
94711;bigbrother8.eu;bigbrother8.eu;bigbrother8.eu;89.149.241.210
5251;business-bg.eu;business-bg.eu;business-bg.eu;89.31.143.1
69809;blogg.eu;blogg.eu;blogg.eu;89.31.143.101
20258;classicradio.eu;classicradio.eu;classicradio.eu;89.31.143.101
9845;alliance4health.eu;alliance4health.eu;alliance4health.eu;89.31.143.12
64671;allianceforhealth.eu;allianceforhealth.eu;allianceforhealth.eu;89.31.143.12
54845;aw-kreuzfahrten.eu;aw-kreuzfahrten.eu;aw-kreuzfahrten.eu;89.31.143.12
59807;bannermarkt.eu;bannermarkt.eu;bannermarkt.eu;89.31.143.12
35017;business-made-in-germany.eu;business-made-in-germany.eu;business-made-in-germany.eu;89.31.143.12
84720;caremillage.eu;caremillage.eu;caremillage.eu;89.31.143.12
69516;5-seen-land.eu;5-seen-land.eu;5-seen-land.eu;89.31.143.14
29766;amerika-live.eu;amerika-live.eu;amerika-live.eu;89.31.143.14
59706;anolyt.eu;anolyt.eu;anolyt.eu;89.31.143.14
84473;auersbach.eu;auersbach.eu;auersbach.eu;89.31.143.14
10091;bonerath.eu;bonerath.eu;bonerath.eu;89.31.143.14
20156;brokerportal.eu;brokerportal.eu;brokerportal.eu;89.31.143.14
79334;aeuv.eu;aeuv.eu;aeuv.eu;89.31.143.2
39849;autosport24.eu;autosport24.eu;autosport24.eu;89.31.143.2
40028;boringtool.eu;boringtool.eu;boringtool.eu;89.31.143.2
604;czechpoint.eu;czechpoint.eu;czechpoint.eu;89.31.143.2
64999;bugbag.eu;bugbag.eu;bugbag.eu;91.184.0.61
54978;blog.handwerker-fair.eu;handwerker-fair.eu;blog.handwerker-fair.eu;91.211.115.103
84468;at.epbv.eu;epbv.eu;at.epbv.eu;92.43.96.85
15205;ch.epbv.eu;epbv.eu;ch.epbv.eu;92.43.96.85
128;anal.pantiesparadise.eu;pantiesparadise.eu;anal.pantiesparadise.eu;93.187.234.206
62;aber-sicher.eu;aber-sicher.eu;aber-sicher.eu;94.102.211.253
64861;befreiungstheologie.eu;befreiungstheologie.eu;befreiungstheologie.eu;94.102.216.89
30167;cinelove.eu;cinelove.eu;cinelove.eu;94.23.55.228
